ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,IDADE,COMPUTADOR,MORA_MÃE,MORA_PAI,REUNIÕES_ESCOLARES,USO_TEMPO_TELAS,AFAZERES_DOM,BIBLIOTECA
2017,3,31,3115300,2,3,1,229.157716,247.080169,A,A,C,B,A,C,A,C,A,B
2017,2,29,2933000,2,3,2,178.446093,144.659602,B,B,D,A,A,C,A,B,B,B
2017,3,35,3516200,2,2,1,250.717126,275.125821,B,C,D,B,A,A,B,B,B,A
2017,2,21,2103257,2,3,1,190.686406,127.718302,B,C,D,A,A,A,C, ,A,A
2017,3,35,3534203,2,3,1,167.794012,216.421662,A, ,C,A,A,A,A,D,E,A
2017,3,33,3303906,2,3,1,251.151206,284.201282,A,A,C,A,A,B,C,D,A,C
2017,4,43,4311403,2,3,1,273.026907,227.289087,B,A,D,B,A,A,A,B,A,C
2017,2,25,2511103,2,3,1,189.110185,208.216277,A,F,D,A,A,A,A,A,A,B
2017,3,35,3514601,2,3,1,226.009681,301.053769,A,A,D,A,A,B,A,D,E,A
2017,2,24,2414159,2,3,2,212.763088,226.802433,B,C,D,A,A,A,B,E,B,C
2017,2,26,2611101,2,3,1,162.14292,118.546371,B,C,C,C,A,B,B,A,A,B
2017,1,13,1301902,2,2,2,188.27541,214.109956,B,C,D,B,A,A,A,E,A,A
2017,1,16,1600303,1,3,1,170.862437,167.15509,A,D,C,A,A,A,A,A,A,A
2017,3,31,3118601,2,2,1,176.783761,214.824204,B,B,C,B,A,B,A,C,A,C
2017,3,31,3151701,2,2,1,218.78325,255.066624,B,A,C,C,A,A,B,D,B,B
2017,1,15,1505601,2,3,2,212.994149,174.872368,B,C,D,A,A,B,B,C,C,C
2017,2,26,2610707,2,3,1,244.873869,255.728948,A,D,D,A,A,A,B,D,E,B
2017,1,12,1200054,2,3,1,180.14644,236.510203,A,C,C,A,A,A,C,A,A,A
2017,4,42,4203006,2,3,1,251.71718,245.495901,A,C,C,A, ,A,B,B,E,A
2017,1,13,1301209,2,3,1,140.551446,151.350026,B, ,D,A,A,A,A,A,D,A
2017,3,31,3157807,2,2,1,275.077317,286.88009,A,E,C, ,A,A,B,A,A,B
2017,3,33,3304557,1,3,1,221.540728,156.856035,B,C,C,B,A,A,B,B,B,B
2017,1,15,1504802,2,3,2,189.663267,225.069435,A,C,F,A,B,B,C,D,E,C
2017,3,35,3550308,1,2,1,232.728537,182.782865,B,C,C,B,A,A,C,B,E,B
2017,4,43,4300604,2,3,1,153.110419,196.030241,B,C,C,A,A,A,B,B,B,C
2017,3,31,3154002,2,3,1,243.647876,237.807911,B,C,D,A,A,C,A,A,A,B
2017,3,35,3537800,2,3,2,243.028021,209.314897,B,C,D,A,A,B,B,B,A,B
2017,3,35,3550308,1,2,1,230.082953,258.127008,A,F,D,A,A,B,C,C,E,C
2017,4,42,4209102,2,3,1,221.206256,269.143722,A,C,C,B,A,B,B,B,A,B
2017,3,35,3523305,2,2,1,265.448375,313.997259,A,A,C,B,A,A,A,C,A,B
2017,1,13,1302504,2,3,2,172.586143,193.737426,A,C,E,B,A,A,C,A,B,C
2017,5,52,5209705,2,3,1,208.210668,147.970384,B,C,D,A,A,A,C,A,D,A
2017,5,52,5213103,2,2,1,236.089067,307.87431,B,A,C,B,A,A,A,D,A,C
2017,4,41,4120606,2,3,1,238.470642,201.755124,A,F,C,A,A,A,B,D,A,C
2017,1,13,1302603,1,2,1,164.353817,168.553964,A,E,D,A,A,B,C,E,A,A
2017,2,22,2207900,2,3,2,190.183293,193.861171,A,A,E,A,A,A,A,A,A,C
2017,3,35,3520509,2,3,1,273.398071,293.323693,B,A,D,A,A,B,B,C,B,C
2017,4,43,4311403,2,3,1,129.545224,134.519337,A,C,D,A, ,A,C,B,D,C
2017,3,32,3202801,2,3,1,244.802082,229.970801,A,C,D,C,B,B,B,B,B,B
2017,2,21,2107506,2,3,2,146.567641,165.937588,A,B,D,A,A,A,A,B,A,B
2017,5,51,5103403,1,2,1,201.202352,181.470513,B,B,D,B,A,A,B,A,B,B
2017,4,43,4305108,2,2,1,230.137826,274.625026,A,C,D,B,A,B,A,B,C,A
2017,3,31,3143203,2,3,1,268.527653,241.207451,A,C,D,A,A,A,A,C, ,A
2017,2,21,2109759,2,3,2,260.962122,248.322935,B,A,C,A,A,A,A,B,A,C
2017,3,35,3550308,1,2,1,161.916982,199.110243,B,B,C,A,B,B,A,A,D,B
2017,3,35,3509502,2,3,1,320.311998,245.719694,A,C,D,B,A,A,A,B,B,B
2017,3,31,3132206,2,3,1,321.927005,305.085283,B,C,D,B,A,A,B,A,A,A
2017,4,41,4104808,2,3,1,226.247464,287.764642,B,A,C,A,A,A,A,B,A,A
2017,2,25,2516201,2,3,1,184.548454,138.698741,A,C,E,A,C,B,A,D,E,B
2017,1,13,1302801,2,3,1,116.789293,189.405156,A, ,E,A,A,A,A,E,A,C
2017,1,13,1304062,2,3,1,126.386667,128.446915,A,A,D,A,C,B,A,A,C,A
2017,2,26,2610400,2,3,1,260.110048,143.916626,B,C,D,B,A,B,A,A,E,B
2017,3,35,3516408,2,2,1,250.570798,270.069857,A,C,D,B,A,A,A,D,A,B
2017,1,15,1504422,2,3,1,195.319537,145.540186,A,A,E,A,A,A,C,B,D,A
2017,4,43,4314902,1,2,1,189.578644,268.061758,A,D,D,B,A,A,A,A,E,C
2017,1,11,1100130,2,3,1,250.262385,238.086311,B,C,D,C,C,C,C,D,A,C
2017,3,35,3505708,2,3,1,230.833931,245.875969,A,C,D,B,A,A,A,C,A,B
2017,2,26,2613909,2,3,1,320.236465,271.395232,A,D,C,B,A,A,B,D,C,B
2017,5,52,5201405,2,3,1,129.904984,156.839155,A,A,E,A,A,A,A,E,C,A
2017,4,41,4110102,2,3,1,163.473645,200.603854,B,C,C,B,A,A,A,B,E,C
2017,3,35,3534401,2,3,1,263.027076,239.53001,B,C,D,B,A,A,A,B,C,A
2017,3,33,3304557,1,3,1,121.717229,155.79436,A,B,E,C,A,A,A,C,B,A
2017,2,29,2925402,2,3,1,146.679701,177.926995,A,B,C,A,C,B,A,D,E,B
2017,3,31,3109006,2,3,1,167.507637,232.537153,B,A,C,A,A,A,C,B,A,B
2017,5,51,5108402,2,3,1,186.91835,174.552943,B,C,C,A,A,A,B,A,B,B
2017,3,31,3143104,2,3,1,170.195752,186.255287,B,F,D,B,A,C,B,A,E,C
2017,4,42,4209102,2,2,1,213.613894,224.130109,B,A,C,B,A,A,B,B,C,A
2017,1,13,1302603,1,3,1,246.239908,321.700731,B,C,C,A,A,A,A,D,A,C
2017,1,13,1304062,2,3,2,160.747516,164.591142,A,E,D,A,A,A,A,C,C,A
2017,3,33,3305554,2,3,1,160.660854,188.419606,A,C,D,A,A,B,B,D,A,C
2017,1,15,1502400,2,3,1,234.192753,216.381532,B,F,D,A,A,C,C,E,D,C
2017,2,28,2804805,2,2,1,166.264455,178.153527,A,C,H,B, ,A,B,B,E,C
2017,3,31,3132107,2,3,1,153.140004,262.365827,A,C,D,B,A,A,A,B,E,B
2017,3,35,3550308,1,3,1,149.359387,229.93939,A,F,C,B,A,C,B,D,A,A
2017,3,35,3513405,2,3,1,269.791219,265.542691,B,F,D,B,A,A,A,B,D,B
2017,1,15,1505700,2,3,1,168.449733,210.998765,A,A,D,A,A,A,A,B,A,A
2017,5,51,5102678,2,2,1,187.459257,181.89468,B,D,D,B,A,B,A,D,E,B
2017,2,27,2708907,2,3,1,152.737877,144.926656,A,B,E,A,C,B,C,B,E,A
2017,3,32,3204351,2,3,1,217.135021,178.247091,A, ,E,A,A,A,A,D,E,B
2017,3,35,3543402,2,3,1,212.182128,263.235791,A,A,D,B,A,A,A,B,E,B
2017,3,35,3534401,2,3,1,174.040993,215.252507,A,C,E,C,A,A,B,D,D,C
2017,5,50,5002704,1,3,1,189.11035,245.036802,B,C,D,D,A,A,B,A,C,A
2017,2,28,2806107,2,3,1,221.712839,265.497865,A,A,D,B,A,A,A,B,A,B
